Abhishek > Abhijeet, Abhijit, Abhishekh, Abishek
Vamsi > Vaamsi, Vvamsee, Vaamsi, Vaamsy

Swarag > Swaarag, Swaragh, Sswarg, Swaarag

Suryakala > Suryakaala, Suryakalaah, Surryakala, Suryakalla

Swarnava > Swarnave, Swrarnava, Swarnavaa, Swarnavha
Tanvi > Taanvi, Tanvee, Taanvie, Tanvii

Tanishta > Tanishtaa, Tanista, Tanishtha, Tanisthaa

Niranjan > Niranjann, Neranjan, Niranjaan, Niranjane

Munir > Muneer, Munnir, Munirr, Mounir

Narayan > Narayana, Narayaan, Naaraayan, Naarayan

Nagjibhai > Nagibhai, Najiibhai, Nagibhai, Nagjibhai

Sura > Suuraa, Suraa, Suera, Suura

Mohandas > Moohandas, Moandas, Mohanndas, Mohndaas

Shiromani > Shiroman, Sheeromani, Shiromanhi, Shiromanii

Shahid > Shaheed, Shaahid, Shaihid, Shaihidh

Sitaram > Sitaaam, Sitaramm, Sitaraam, Sitarahm

Suman > Sumaan, Suuman, Summan, Suuman

Sugathan > Sugathaan, Sugahthan, Sugathan, Sugaatan

Palata > Palataa, Palaaata, Pallata, Pallataa

Akshit > Akshith, Aakshit, Akshitth, Akisshitt

Akansha > Akanksha, Aakansha, Akanshaa, Akankshaa

Amrin > Amrinn, Amrin, Ammrin, Amrine

Anitha > Anithaa, Aneetha, Annithaa, Anithaa

Amrutha > Amrutah, Amruutha, Amruthaa, Amruthah

Kasniya > Kaaasniya, Kasnya, Kashniya, Kasiniyaa

Omkar > Aumkar, Omkaar, Oumkar, Omkara

Aakanksha > Akansha, Aakansha, Aankanksha, Aakanshaa

Veerendra > Veerendhra, Verendra, Veerandhra, Veerendhra

Vengatesh > Vengateesh, Vengateshh, Vengetsesh, Venghatesh

Vilas > Villaas, Vilash, Veelaas, Vilas

Vishwadeep > Vishvadeep, Vishwaadeep, Vishvdeep, Vishvadeep

Machhan > Machhann, Machan, Machchhan, Macchan

Grover > Groveer, Grower, Groover, Grover

Jauhari > Jouhari, Jaahhari, Jauhhari, Jahari

Hanif > Haneef, Haniff, Hanife, Haneef

Arnav > Aaravn, Aarnaav, Aarnav, Arnuv

Bhushan > Bhuushan, Bhushaan, Bhoushan, Bhushann

Kori > Koari, Kooree, Korrie, Koori

Yakub > Yaakub, Yakoob, Yaqoob, Yakoobe

Kalapu > Kalappu, Kalapuu, Kallapu, Kalapoo

Jodha > Jootha, Jodhaa, Jodha, Jodaah

Rajendra > Rajendrr, Rajeendra, Rajendrah, Raajendra

Rishiraj > Rishiraaj, Rishrraaj, Risheraj, Risheraaj

Prabhu > Prabhoo, Prabhhoo, Prabhhu, Praabhu

Vikram > Vikraam, Veekram, Vvikram, Veekram

Tulshidas > Tulshydas, Tulshiidass, Tulshydhas, Tulshiidas

Putta > Poota, Poutta, Puttah, Puttka

Azmi > Aazmi, Azzmi, Azamie, Azzamee

Vimlesh > Vimeelesh, Vimeelsh, Vimilesh, Vimeelesh

Rehman > Rrahmaan, Reheman, Rahheman, Rahmaan

Sarath > Sarth, Ssarath, Sarrth, Sarith

Jami > Jaamee, Jaamie, Jaamey, Jameee

Tanveer > Taaanveer, Tannvir, Tanveer, Taanveer

Jeyahar > Jeyahaar, Jeyarhar, Jeyaahhar, Jehahar

Kalyani > Kalyaani, Kaliyanie, Kaleyaanee, Kalyaaney

Kalaivani > Kalayvaani, Kalaivaany, Kalivaaanee, Kalaivaney

Harsha > Haarsha, Harsshaa, Haarsha, Hharsha

Harleen > Harleein, Harlene, Harleeen, Haarlin

Harshini > Haarshini, Harrshini, Haashini, Haarshinee

Himadri > Himadrii, Himmadri, Heemadrii, Heemadhri

Hershit > Haarshit, Hershith, Heershit, Hearshit

Kishor > Kishoor, Kisore, Kishhor, Kishorr

Mythili > Mithili, Mythily, Mithily, Mythilly

Mayukh > Mayookh, Mayukh, Maayookh, Maayukh

Navin > Naveen, Navine, Naveene, Navinn

Niraj > Neeraj, Nirraj, Neraj, Nieraj

Neenu > Neenuu, Neena, Neenoo, Neenoh

Lav > Laav, Llv, Laavh, Lavv

Kishore > Kishoree, Kishorree, Kishor, Kishoray

Majaz > Majaaz, Majaz, Majaas, Majahz

Manju > Manjoo, Maanju, Maanjoo, Manjhu

Manali > Maanali, Maanalee, Maanalii, Manale

Hajira > Haajira, Haajara, Hajeerah, Haajirah

Ashik > Aashik, Ashik, Ashieck, Ashhik

Ashay > Aashayy, Ashya, Ashyaay, Ashayy

Ashwini > Aaswinie, Ashwinni, Ashvhini, Ashwhinee

Aswin > Aswinn, Ashwin, Asvhin, Aashwin

Aswathy > Aswathii, Aswhathy, Ashwathy, Aswathhii

Thirukural > Thirokural, Thirukkural, Thirakural, Thirikural

Upasana > Upasanaa, Upaasnaa, Upaasnna, Upaasna

Aravind > Aaravind, Aaraavind, Arivind, Aravaind

Asharudeen > Asharrdeen, Asharudin, Asharuddinn, Asharrudeen

Arnab > Aarnab, Arnaab, Arnaab, Aarnav

Atiq > Ateq, Attiq, Athiq, Atheeq

Furqan > Furhqan, Furqaann, Furquaan, Ffurkan

Febin > Feebin, Phbin, Feebhin, Febinn

Geethu > Geethhoo, Geetthu, Geethu, Geethhu

Gunta > Gaanta, Gunta, Gontha, Guneta

Gunjan > Gunnjan, Guunjann, Guunjann, Gunajan

Cherry > Sherry, Chherrry, Cherrey, Cherrii

Bhawna > Bhaavna, Bhanwa, Bhawnaa, Bhaavnaa

Debanjana > Debaanjana, Debajjanaa, Debajjana, Debanjanna

Eashan > Eshaan, Eashaan, Eshan, Eshaan

Taramla > Tarmla, Taramlah, Tarraamla, Taramalaa

Karthik > Kartikh, Kartiik, Kartikk, Kartick

Ashit > Aashhit, Ashitt, Ashhit, Aashitt

Asvin > Asvean, Asvee, Asvhin, Asveen

Ashirvad > Ashirvadh, Ashirvaad, Ashirravad, Ashiirvaad
Ashirvad > Ashirvaad, Ashirvadh, Ashirwad, Ashirvaadh

Padum > Padam, Padma, Padmun, Padan

Nivika > Nivikaa, Nivikaah, Navika, Navikaa

Nainika > Nainikaa, Nanikah, Nanika, Naynika

Balamurugan > Bala, Balaa, Murugan, Murugaan

Atharva > Atharvaa, Atharvah, Atherva, Athervaa

Nashra > Nashraa, Nashrah, Nashira, Neshra

Aryaman > Aryamann, Aryamaan, Aaryaman, Aryamanth

Rakhee > Rakhee, Rakhii, Rakee, Rakhie

Raghwendra > Raghvendra, Raghvindra, Raghwendrah, Raghuvendra

Raksha > Rakshaa, Rakshah, Raksa, Rakashaa

Raman > Ramman, Rammaan, Ramn, Raaman

Rakshita > Rakshitaa, Rakshithaa, Rakshitha, Rakshitaa

Pranjali > Pranjaali, Pranjalee, Pranjalii, Pranjaalii

Pragun > Praggun, Pragunn, Praghun, Pragunth

Prashansi > Prashaanasi, Prashansi, Prashaansi, Prashansii

Arihant > Arihanth, Arihantth, Arihanth, Arihaant

Arunlal > Arunall, Arunlaal, Aruunlal, Arunlall

Brajesh > Brajeshh, Brajesh, Brajeshh, Brajeesh

Dwijaa > Dwijaa, Dwijaaa, Dwijah, Dwijahah

Fatahun > Fattahun, Fattahun, Fattahunn, Fatta

Divyaraj > Divyaraaj, Divyaaraj, Divyaarajj, Divyarajj

Gurvansh > Gurvaansh, Gurvaanshh, Gurvanash, Gurvanashh

Diganth > Diganth, Diganthth, Diganth, Diganthh

Anuraktika > Anuraktikaa, Anuraktiikaa, Anuraktikah, Anuraktikah

Hatchinghoi > Hatchinghoii, Hatchinghooie, Hatchinghoee, Hatchinghoiee

Anushi > Anushi, Annushi, Anuushe, Anoushi

Harshraj > Harshraj, Harshraaj, Harshrajj, Harshrajh

Haider > Haider, Haidar, Haaidar, Haideer

Chiranjeev > Chirangeev, Chiranjiv, Chiranjeevh, Chiranjeevhh

Jyotsana > Jyotsanaa, Jyotsnah, Jyostana, Jyostnaa

Kaustubh > Kousstubh, Koustubh, Koustubhh, Koustubh

Chandrasekhara > Chandrasekhar, Chandrasekharaa, Chandrashekar, Chandrashkar

Chandrashekhar > Chandrashekar, Chandrashekar, Chandrashekarah, Chandrashekarah

Husain > Husainn, Hussainn, Hussain, Husein

Hammaad > Hammaadh, Hammadh, Hammad, Hammadhh

Jaykant > Jaykanta, Jaikant, Jaikaanth, Jaykanth

Devdarshdeep > Devadarshdeep, Devadarsdeep, Devdarshdeep, Devdarshdeepth

Wamika > Wamikaa, Wamikah, Waamikah, Wamikah

Zaid > Zaid, Zaidd, Zayyid, Zaayd

Abhinandan > Abhinandanth, Abhinanth, Abhinanda, Abhinandhan

Shalin > Shalin, Shaleen, Shaleeen, Shaleinn

Tanpreet > Tanpreeet, Tanpreeth, Tanprit, Tanpriith

Soumitra > Soumitraa, Soumitrah, Soumitrahh, Soumithra

Shirjon > Shirjon, Shirjon, Shirajon, Shirajan

Vratanshi > Vratanshii, Vratanshee, Vratanshiee, Vratnashi

Digraj > Digraaj, Digrajj, Digrajjh, Digrraj

Adity > Aditee, Aditee, Aadhity, Aditee

adthi > adthi, Aadhthi, Aadhthi, Aaadthi

Ana > Aana, Aanaa, Aanah, Anaa

Amita > Amitaa, Amitha, Amithaa, Amithah

Anadi > Anaadi, Anaadhi, Anaadhii, Anaadhi

Davneet > Davaneeth, Davneth, Davaneth, Daveneth

Anikrishna > Anikriishna, Anikriishna, Anikrishnaa, Anikrishnaah

Ahad > Ahadh, Ahadd, Ahadhh, Ahadh

Aeman > Aiman, Aemaen, Aemaan, Aimen

Akhya > Akhyaa, Akhiyah, Akhiyahh, Akhyaa

Ambika > Ambikaa, Ambikah, Ambikaa, Ambikaa

Jasmine > Jazmeen, Jazzmine, Jazmyne, Jazzmin

Tanish > Tanishh, Tanesh, Taneshh, Tannish

Anish > Anishh, Aneesh, Aneeshh, Anesh

Sadique > Sadeeq, Sadeeqh, Sadiqh, Sadique

Ajith > Ajithh, Ajeeth, Ajeethh, Ajiith

Agrim > Agrimm, Aggrim, Aggrimm, Agrim

Ahinsa > Ahinsah, Ahinsaa, Ahinsaa, Ahinshaa

Ritul > Rritul, Ritull, Ritull, Rittull

Ramandeep > Ramandip, Ramanndeep, Ramanndeep, Ramandip

Roma > Romaa, Romah, Rooma, Roomaa

Sadiq > Sadiqh, Saadiq, Saadiq, Sadeeq

Saawani > Saawanii, Saawani, Saawanii, Saawane

Satnam > Satnaam, Saathnam, Saathnam, Saathanam

Sifat > Siffat, Sifaath, Sifaat, Siffaat

Vijaypal > Vijjaypaal, Vijjypaal, Vijyypal, Vijjyypaal

Snehil > Sneheil, Sneheill, Snehiil, Sneheill

Sayeed > Sayeedh, Sayeed, Sayeid, Sayeied

Satwik > Satwikh, Satwiik, Sathwik, Sathwik

Shabaj > Shabaaj, Shabaajh, Shabbaj, Shaabaj

Shreyasi > Shreyaaasi, Shreyaasi, Shreyashii, Shreyaashi

Hemavarun > Hemavarunn, Hemavarunh, Hemavaarun, Hemavaarun

Varnit > Varnitt, Varnith, Varnith, Varnth

Vandita > Vandiitha, Vandiitah, Vandiithaa, Vandiithah

Vidyadhar > Vidyadhaarr, Vidyadhaarr, Vidyadhaar, Vidhyadhar

Zahed > Zaheed, Zaheed, Zaahid, Zahed

Viraj > Virajj, Viiraj, Viirajj, Virraj

Shubhanshu > Shubhanshhu, Shubhanhu, Shubhanhuu, Shubhanhuu

Sagar > Sagaar, Saagaar, Saggaar, Saagar

Sushmita > Sushmitaa, Sushmitaa, Sushmitah, Sushmitah

Rajveer > Rajveeer, Rajveer, Rajveer, Rajveeerr

Susmithaa > Susmithaa, Susmithaah, Susmithaa, Susmithaah

Abhigya > Abhigyyaa, Abhigyaa, Abhigyaah, Abhigyaa

Babli > Babllii, Babbli, Babblii, Bablli

Nagamani > Nagamaani, Nagammaani, Nagamni, Nagamaanee

Dhairya > Dhairyaah, Dhairyaa, Dhaaryah, Dhairyah

Divyanshika > Divyashika, Divyaashika, Divyanshikaa, Divyanshikah

Pritha > Prithaa, Prithah, Prithaa, Prithah

Priyakanta > Priyakantaa, Priyakantaah, Priyakanta, Priyaakanta

Nemi > Nemmii, Nemi, Nemee, Nemii

Apurwa > Apurva, Apurvaah, Apurvaah, Apurwaah

Saddam > Saddamm, Saaddam, Saaddamm, Saadamm

Ranjeeta > Ranjitaah, Ranjeitaa, Ranjeetah, Ranjeetah

Neharika > Neharikaa, Nehaarikah, Nehaarikah, Nehaaikah
Neharika > Neharikaa, Nehaarikah, Nehaarikah, Nehaaikah

Ramsundar > Ramsundaar, Ramsundaar, Ramusndar, Ramusundar

Ramkrishna > Ramakriishna, Ramakrishnah, Ramakrisnaa, Ramkrishnah

Omkant > Omkaant, Omkanth, Omkaanth, Omkaanth

Monika > Monikaa, Mohnika, Mohinikaa, Mohinikah

Mitika > Mitikaa, Mitikhah, Mithika, Mithikaah

Mukul > Mukull, Mukkul, Mukkull, Mukull

Navodit > Navodith, Navoditth, Navodithh, Navodithh

Naini > Naini, Nainii, Nainiii, Nainee

Ramakrishna > Ramakriishna, Ramakrishnah, Ramakrisnaa, Ramkrishnah

Radhika > Radhikaa, Radhekaah, Radheekah, Radheekaa

Purnava > Purnavaa, Purnavah, Poornava, Poornavah

Ratan > Raatan, Raathan, Raattn, Ratthan

Reghu > Reghu, Reghuu, Reghuh, Reghoo

Ravinderpreet > Ravindarpreet, Ravindrapreet, Ravindaarpreet, Ravindraapreet

Prasanna > Prasaanna, Prasannah, Prasaanah, Prasaannah

Prabhjot > Prabhajo, Prabhajo, Prabhajot, Prabhajoth

Prashasti > Prashaasti, Prashasthi, Prashashtee, Prashasthii

Puneet > Puneet, Puneeth, Puneeet, Puneith

Prassanna > Prassannah, Prasaanna, Prasaannah, Prassaanna

Srasti > Srastii, Srasti, Srasti, Sraasthii

Sonika > Sonikaa, Soneeka, Soneka, Sonekaah

Jivani > Jeevani, Jeevanii, Jeevaniee, Jeevni

Jeevan > Jeevann, Jjeevan, Jjeevann, Jeevaan

jeewan > Jeewaan, Jeewaan, Jeeewan, Jeevan

Suramya > Suramaay, Surma, Surmy, Surmyaa

Shravya > Shraavya, Shraavyaa, Shraavyaa, Shraavyah

Shresth > Shreshtth, Shresth, Shresht, Shreshth

Snehlata > Snelata, Snehllata, Snehlah, Snelatha

Karthikeyan > Karthikeya, Karthikay, Kaarthikeyan, Kaarthikeyaan

Jamir > Jamirr, Jamir, Jameer, Jamire

Akarshita > Akarshitha, Akaarshita, Akaashitaa, Akaashita

Ajeet > Ajeeth, Ajith, Ajeetth, Ajithh

Hitesh > Hitessh, Heetesh, Hitesshh, Hittesh

Amitesh > Amithesh, Ammeeth, Ammitesh, Ammeeth

Ambuj > Ambujh, Ammbuj, Ambbuj, Ammbujh

Wasfia > Wasfiya, Waafia, Waafiya, Waafiyah

Udisha > Udiisha, Udishaa, Udiishaa, Udish

Inderveer > Inderveeer, Innderveer, Indeerveer, Inderveer

Abuzar > Abuzzar, Abuuzar, Abuzzarr, Abuzaar

Aatish > Aattish, Aathish, Aathishh, Aathish

Sheesh > Sheeesh, Sheeshe, Sheessh, Shehsh

Kundan > Kundan, Kundann, Kundaan, Kundaaan

Manush > Maanush, Maanuush, Manush, Manuussh

Paakhi > Paaki, Paakhi, Paakhii, Paakhi

Madan > Madan, Madhaan, Madhaaan, Madhaan

Gundeep > Gundeep, Gunddeep, Gundeeep, Gundeep

Gauri > Gaurii, Gauree, Gauuri, Gaaurii

Ifra > Ifraah, Ifraah, Iifra, Iifraa

Jaypreet > Jaypreeet, Jaypreetth, Jaypritth, Jaypreeetth

Iskand > Iskanth, Iskand, Iskandth, Isskand

Parijat > Parijaath, Parijaathh, Parijaath, Parijathh

Ratnesh > Ratnsh, Ratnnesh, Ratnneshh, Ratnnesh

Kritagya > Kritaggya, Krittagya, Krittagyaa, Krittggya

Shalvi > Shaalvi, Shaalvi, Shalavi, Shalavi

Sankalp > Sankalph, Sankaalp, Sankkalp, Sankkalph

Prasoon > Prasoon, Prasson, Prassoonn, Prassoon

Madhusudan > Maadhusudan, Maadhusudaan, Madhusudaaan, Madhusudann

Prastuti > Prastutii, Prasstuti, Prasstutii, Prasstuti

Rampratap > Ramprattap, Raampratap, Raamprataap, Rampratap

Madhukar > Madhuukaar, Madhukkaarr, Maddukkaar, Madhuukar

charan > Charaaan, Charaann, Charann, Charannn

cheran > Cheraan, Cherrran, Cherrn, Cherrran

chran > Chraaan, Chraann, Chraann, Chraannn

swamy > Swaami, Swaamy, Swami, Swaami

